ds,yhat_almoco,yhat_janta
2022-06-10,337.4475527806293,190.40626008653177
2022-06-13,366.06071702931786,258.23554483656153
2022-06-14,415.8803374794014,300.19397764672226
2022-06-15,414.20675425345286,279.75942133211174
2022-06-20,367.15610959361715,260.088128600221
2022-06-21,413.39308738903594,299.1156005993929
2022-06-22,407.81565876329705,275.49837766630446
2022-06-23,387.29565583256755,269.16766203040106
2022-06-24,331.9741487008986,187.90203341750544
2022-06-27,338.74614293175057,238.45780350968036
2022-06-28,380.6114899150036,274.223119729662
2022-06-29,370.86128798164725,247.5812671510726
2022-06-30,346.4470898008668,238.5289016222711
2022-07-01,287.5864075687764,154.904298239977
2022-07-04,286.55489687837377,201.04361877281764
2022-07-05,326.94862282767946,236.34055315690182
2022-07-07,291.7838717254887,201.320647537846
2022-07-08,233.44006358719062,118.83691961990188
2022-07-11,238.05377951061325,171.3846161510645
2022-07-12,281.6312709240949,209.6933192973903
2022-07-13,274.82159702776875,186.48765373607426
2022-07-14,254.55185832272088,181.71013213515545
2022-07-15,200.99389165498417,103.12914548160954
2022-07-18,222.06106807396702,168.1122349258892
2022-07-19,271.5398387081102,210.5753718787238
2022-07-20,270.68863633835116,191.41462841164753
2022-07-21,256.34121421040857,190.50837520669822
2022-07-22,208.57677507694353,115.56556630547777
2022-08-16,370.3385345440922,280.82247977178514
2022-08-17,366.4239588969365,259.4601507360884
2022-08-18,348.08160664600126,255.9307275338366
2022-08-19,295.5192168159254,178.03244777384958
2022-08-22,314.51295999580947,242.0628172576203
2022-08-23,361.83729317221605,283.3615733481415
2022-08-24,358.2290180138403,262.6969935113584
2022-08-25,340.6058653442293,259.9995378313806
2022-08-26,289.1328077836331,183.0297017620943
2022-08-29,313.0530660548455,250.01582274121893
2022-08-30,362.35104543745,292.21762523275237
2022-08-31,360.7607942040004,272.3478361580343
2022-09-01,345.12493383056756,270.3002455769755
2022-09-02,295.5346480951573,193.80246455080677
2022-09-05,323.79993704332185,260.8835622675541
2022-09-06,373.9200100565178,302.62139435152886
2022-09-08,357.1506824999417,279.0030768482396
2022-09-09,307.15175603887093,201.2830381737284
2022-09-12,331.64826703860575,263.4421899242865
2022-09-13,379.7403864659109,303.2216694057836
2022-09-14,376.2399968950533,280.5751036254304
2022-09-15,358.01891858062464,275.4441136960593
2022-09-16,305.2185551772492,195.61382514671416
2022-09-19,320.8931076093137,251.89419119210385
2022-09-20,366.17316452047936,290.02176297596975
2022-09-21,360.05965246704966,265.9497259333321
2022-09-22,339.50081525602275,259.6571650832422
2022-09-23,284.70842201090653,178.96132025978872
2022-09-26,297.05125374311245,234.63991060645904
2022-09-27,342.2354157541135,273.26609341532316
2022-09-28,336.56678850036417,250.03842964026552
2022-09-29,316.99185911805483,244.92079157746127
2022-09-30,263.70552606150653,165.7064916241702
2022-10-03,283.3098679826689,227.31198549243297
2022-10-04,331.63128005781033,268.254073465718
2022-10-05,329.33023921388826,247.42160966533706
2022-10-06,313.26273101627663,244.71811573850198
2022-10-07,263.5271532430651,167.87458669231847
2022-10-10,293.0431417838895,235.71156881191837
2022-10-11,344.0953280557488,278.24222818141175
2022-10-13,329.80304157329596,256.84255780978003
2022-10-14,281.27287033563135,180.47559178297328
2022-10-17,310.53673013019034,247.12424097350922
2022-10-18,360.1650891266363,288.37892032229564
2022-10-19,358.0857860601149,267.11371737653946
2022-10-20,341.11932992144284,263.2226092203631
2022-10-21,289.35926956971883,184.4464470124818
2022-10-24,306.4734879253131,242.4086471881713
2022-10-25,351.5784323755883,280.5146518294863
2022-10-26,344.93757171310494,256.1054972899881
2022-10-27,323.49962338718143,249.1590025055214
2022-10-31,274.40796912881206,218.659201948416
2022-11-01,317.3411090394159,255.3531588666821
2022-11-03,287.2847766004491,222.79834269342905
2022-11-04,231.57888177222912,141.42248437416305
2022-11-07,244.7941867266421,197.10015558583368
2022-11-08,291.53136107797053,236.4675956149219
2022-11-09,288.03716896178906,214.3618821075279
2022-11-10,271.22810220690394,210.73874874235366
2022-11-11,221.25293476484129,133.37334700185158
2022-11-16,308.96458361675786,228.3103595508339
2022-11-17,297.7181929481675,228.6481647591382
2022-11-18,252.6623266042062,154.80832466496167
2022-11-21,294.09252914565815,230.57088618581005
2022-11-22,347.9930218759046,275.08603145229466
2022-11-28,312.6759834413729,243.31043327894196
2022-11-29,358.29582352878384,281.7847039043527
2022-11-30,351.0943813496303,256.88029001830506
2022-12-01,327.91950925955445,248.48333290589667
2022-12-02,268.91363625233316,164.34989499548297
2022-12-05,258.86607859606085,201.49397238096068
2022-12-06,293.4716319134343,231.2804535860474
2022-12-07,275.83227429522725,198.001403321175
2022-12-08,243.05191672264667,181.73968493559576
2022-12-12,148.56593366749686,112.01717534820989
2022-12-13,181.03500112737368,139.1082083195223
2022-12-14,163.23287756667003,104.58540000275275
2022-12-15,132.34212380817615,88.61703749926033
2022-12-16,68.78893839380535,-0.798029958737061
2022-12-19,66.03266560482714,36.09064980749139
2022-12-20,110.3427528210359,71.36530060187019
2022-12-21,106.00828274221033,46.41575710639131
2023-03-13,319.3304839951943,260.67258145438035
2023-03-14,368.92308383596264,301.28580492014316
2023-03-15,367.1449931677397,279.62123929158105
2023-03-16,350.9429202050858,275.7182462477604
2023-03-17,300.5114379149811,197.4247608985295
2023-03-20,325.58102747528403,260.5051557972063
2023-03-21,374.7056224945868,301.6421395216307
2023-03-22,372.71549145673583,280.90928291527604
2023-03-23,356.48489026192124,278.23457833133824
2023-03-24,306.13711605676485,201.36922808039196
2023-03-27,331.4821554816742,268.9890058636929
2023-03-28,380.5245966111012,311.43569324377796
2023-03-29,378.2965713506169,291.78787116121435
2023-03-30,361.64659676325107,289.9164791475306
2023-03-31,310.6833339267502,213.52876316338944
2023-04-03,333.0241580402785,280.3510519415105
2023-04-04,380.7371032820538,321.7995843278924
2023-04-05,377.06698329731614,300.8191905865864
2023-04-10,324.4972134811873,279.39148693908305
2023-04-11,371.0856094463646,318.60384859315633
2023-04-12,366.51577736359275,295.46614718166495
2023-04-13,347.71859292327963,289.9548540433099
2023-04-14,294.8835696037396,209.8889071706175
2023-04-17,313.9886365751017,266.62614019870125
2023-04-18,361.61353023126867,305.37042084372774
2023-04-19,358.4194298792471,282.17099081968723
2023-04-20,341.3165481695565,277.01092602844636
2023-04-24,316.83599740964536,258.9354974425373
2023-04-25,367.1512769593724,299.7890427301225
2023-04-26,366.6851079881521,278.89507946033257
2023-04-27,352.2861249639217,276.19753694386094
2023-04-28,304.0523552880224,199.44343374413393
2023-05-02,389.2011230094146,311.2680102494867
2023-05-03,390.1011292860138,292.3841608992898
2023-05-04,376.69353708835183,291.4021810809022
2023-05-05,329.0535293020451,216.02403518735412
2023-05-08,361.48904720410144,286.55203227434237
2023-05-09,412.4817173717936,329.40063554598396
2023-05-10,411.9833987122398,309.87322596960337
2023-05-11,396.845115260475,307.8567732758413
2023-05-12,347.18402132853913,231.08289618435018
2023-05-15,372.3277503788737,295.68948021449387
2023-05-16,420.67386666675435,336.1673651990794
2023-05-17,417.5238994869007,314.15838446730726
2023-05-18,399.7910830939249,309.631914560058
2023-05-19,347.65297218456465,230.38627605143031
